===== Agent (OpenRouter - qwen/qwen3-coder-30b-a3b-instruct) ====
```
exec_shell("kubectl get pods -n astronomy-shop")
```
===== Output Message from docker ====
NAME                               READY   STATUS      RESTARTS      AGE
accounting-567f87bbcd-mkmbb        1/1     Running     0             46s
ad-94bd576b5-76nl8                 1/1     Running     2 (29s ago)   46s
cart-6fd857c656-hvpd6              1/1     Running     0             46s
checkout-5bc54f8cd8-2lg4z          1/1     Running     0             46s
currency-5864f94d89-fqrzs          1/1     Running     0             46s
email-59d9ffc758-6tlxf             1/1     Running     0             43s
flagd-7d659cdbcb-b5wx8             0/2     Init:0/1    0             1s
flagd-86575d5796-sqrg9             2/2     Running     0             44s
fraud-detection-65868bcdb5-kz8jg   0/1     OOMKilled   2 (18s ago)   45s
frontend-7d6b77c58-l9rh5           1/1     Running     0             44s
frontend-proxy-548b4649d7-svw25    1/1     Running     0             43s
grafana-6b9fb84fb7-s76mb           1/1     Running     0             44s
image-provider-7f5bc6bf-b4pmq      1/1     Running     0             43s
jaeger-55f499595b-tc49h            1/1     Running     0             46s
kafka-6494b5cf67-75mdn             1/1     Running     0             46s
load-generator-68b6f899f5-kqwjq    1/1     Running     0             46s
opensearch-0                       1/1     Running     0             46s
otel-collector-758b8784c-994h9     1/1     Running     0             45s
payment-7597577cb5-ckrtb           1/1     Running     0             44s
product-catalog-6988cd5f49-dl96x   1/1     Running     0             45s
prometheus-58b7bfb774-j7mqk        1/1     Running     0             45s
quote-78bf8788-cks47               1/1     Running     0             44s
recommendation-7b49c8cb75-jfnns    1/1     Running     0             45s
shipping-7f445d59dc-p4nt2          1/1     Running     0             46s
valkey-cart-6475dcc67f-p5h66       1/1     Running     0             46s
===== Agent (OpenRouter - qwen/qwen3-coder-30b-a3b-instruct) ====
```
exec_shell("kubectl get events -n astronomy-shop --sort-by=.metadata.creationTimestamp")
```
===== Output Message from docker ====
LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
48s         Normal    Scheduled           pod/currency-5864f94d89-fqrzs           Successfully assigned astronomy-shop/currency-5864f94d89-fqrzs to niko-0830-worker
48s         Normal    Pulling             pod/accounting-567f87bbcd-mkmbb         Pulling image "busybox:latest"
48s         Normal    Pulled              pod/jaeger-55f499595b-tc49h             Container image "jaegertracing/all-in-one:1.53.0" already present on machine
48s         Normal    SuccessfulCreate    replicaset/jaeger-55f499595b            Created pod: jaeger-55f499595b-tc49h
48s         Normal    ScalingReplicaSet   deployment/jaeger                       Scaled up replica set jaeger-55f499595b from 0 to 1
48s         Normal    ScalingReplicaSet   deployment/valkey-cart                  Scaled up replica set valkey-cart-6475dcc67f from 0 to 1
48s         Normal    SuccessfulCreate    replicaset/valkey-cart-6475dcc67f       Created pod: valkey-cart-6475dcc67f-p5h66
48s         Normal    Scheduled           pod/kafka-6494b5cf67-75mdn              Successfully assigned astronomy-shop/kafka-6494b5cf67-75mdn to niko-0830-worker
48s         Normal    Pulled              pod/kafka-6494b5cf67-75mdn              Container image "ghcr.io/open-telemetry/demo:2.0.2-kafka" already present on machine
48s         Normal    SuccessfulCreate    replicaset/kafka-6494b5cf67             Created pod: kafka-6494b5cf67-75mdn
48s         Normal    Scheduled           pod/ad-94bd576b5-76nl8                  Successfully assigned astronomy-shop/ad-94bd576b5-76nl8 to niko-0830-worker
19s         Normal    Pulled              pod/ad-94bd576b5-76nl8                  Container image "ghcr.io/open-telemetry/demo:2.0.2-ad" already present on machine
19s         Normal    Created             pod/ad-94bd576b5-76nl8                  Created container: ad
48s         Normal    ScalingReplicaSet   deployment/kafka                        Scaled up replica set kafka-6494b5cf67 from 0 to 1
48s         Normal    Created             pod/valkey-cart-6475dcc67f-p5h66        Created container: valkey-cart
48s         Normal    SuccessfulCreate    replicaset/ad-94bd576b5                 Created pod: ad-94bd576b5-76nl8
48s         Normal    ScalingReplicaSet   deployment/ad                           Scaled up replica set ad-94bd576b5 from 0 to 1
48s         Normal    Scheduled           pod/cart-6fd857c656-hvpd6               Successfully assigned astronomy-shop/cart-6fd857c656-hvpd6 to niko-0830-worker
48s         Normal    Scheduled           pod/load-generator-68b6f899f5-kqwjq     Successfully assigned astronomy-shop/load-generator-68b6f899f5-kqwjq to niko-0830-worker
48s         Normal    Pulled              pod/valkey-cart-6475dcc67f-p5h66        Container image "valkey/valkey:7.2-alpine" already present on machine
48s         Normal    Scheduled           pod/valkey-cart-6475dcc67f-p5h66        Successfully assigned astronomy-shop/valkey-cart-6475dcc67f-p5h66 to niko-0830-worker
48s         Normal    Pulled              pod/load-generator-68b6f899f5-kqwjq     Container image "ghcr.io/open-telemetry/demo:2.0.2-load-generator" already present on machine
48s         Normal    SuccessfulCreate    replicaset/shipping-7f445d59dc          Created pod: shipping-7f445d59dc-p4nt2
48s         Normal    SuccessfulCreate    replicaset/load-generator-68b6f899f5    Created pod: load-generator-68b6f899f5-kqwjq
48s         Normal    ScalingReplicaSet   deployment/load-generator               Scaled up replica set load-generator-68b6f899f5 from 0 to 1
48s         Normal    Scheduled           pod/opensearch-0                        Successfully assigned astronomy-shop/opensearch-0 to niko-0830-worker
48s         Normal    ScalingReplicaSet   deployment/cart                         Scaled up replica set cart-6fd857c656 from 0 to 1
48s         Normal    Scheduled           pod/checkout-5bc54f8cd8-2lg4z           Successfully assigned astronomy-shop/checkout-5bc54f8cd8-2lg4z to niko-0830-worker
48s         Normal    NoPods              poddisruptionbudget/opensearch-pdb      No matching pods found
48s         Normal    SuccessfulCreate    statefulset/opensearch                  create Pod opensearch-0 in StatefulSet opensearch successful
48s         Normal    Scheduled           pod/shipping-7f445d59dc-p4nt2           Successfully assigned astronomy-shop/shipping-7f445d59dc-p4nt2 to niko-0830-worker
48s         Normal    Scheduled           pod/jaeger-55f499595b-tc49h             Successfully assigned astronomy-shop/jaeger-55f499595b-tc49h to niko-0830-worker
48s         Normal    Scheduled           pod/accounting-567f87bbcd-mkmbb         Successfully assigned astronomy-shop/accounting-567f87bbcd-mkmbb to niko-0830-worker
48s         Normal    ScalingReplicaSet   deployment/currency                     Scaled up replica set currency-5864f94d89 from 0 to 1
48s         Normal    SuccessfulCreate    replicaset/currency-5864f94d89          Created pod: currency-5864f94d89-fqrzs
48s         Normal    Created             pod/currency-5864f94d89-fqrzs           Created container: currency
48s         Normal    Pulled              pod/currency-5864f94d89-fqrzs           Container image "ghcr.io/open-telemetry/demo:2.0.2-currency" already present on machine
47s         Normal    Created             pod/prometheus-58b7bfb774-j7mqk         Created container: prometheus-server
47s         Normal    Started             pod/load-generator-68b6f899f5-kqwjq     Started container load-generator
48s         Normal    SuccessfulCreate    replicaset/checkout-5bc54f8cd8          Created pod: checkout-5bc54f8cd8-2lg4z
47s         Normal    Started             pod/currency-5864f94d89-fqrzs           Started container currency
47s         Normal    Scheduled           pod/recommendation-7b49c8cb75-jfnns     Successfully assigned astronomy-shop/recommendation-7b49c8cb75-jfnns to niko-0830-worker
47s         Normal    Created             pod/jaeger-55f499595b-tc49h             Created container: jaeger
47s         Normal    Started             pod/jaeger-55f499595b-tc49h             Started container jaeger
47s         Normal    Started             pod/valkey-cart-6475dcc67f-p5h66        Started container valkey-cart
48s         Normal    SuccessfulCreate    replicaset/accounting-567f87bbcd        Created pod: accounting-567f87bbcd-mkmbb
47s         Normal    Created             pod/kafka-6494b5cf67-75mdn              Created container: kafka
47s         Normal    Started             pod/kafka-6494b5cf67-75mdn              Started container kafka
48s         Normal    ScalingReplicaSet   deployment/accounting                   Scaled up replica set accounting-567f87bbcd from 0 to 1
19s         Normal    Started             pod/ad-94bd576b5-76nl8                  Started container ad
47s         Normal    Started             pod/prometheus-58b7bfb774-j7mqk         Started container prometheus-server
47s         Normal    Pulling             pod/cart-6fd857c656-hvpd6               Pulling image "busybox:latest"
47s         Normal    Pulled              pod/prometheus-58b7bfb774-j7mqk         Container image "quay.io/prometheus/prometheus:v3.5.0" already present on machine
47s         Normal    Scheduled           pod/prometheus-58b7bfb774-j7mqk         Successfully assigned astronomy-shop/prometheus-58b7bfb774-j7mqk to niko-0830-worker
48s         Normal    ScalingReplicaSet   deployment/shipping                     Scaled up replica set shipping-7f445d59dc from 0 to 1
47s         Normal    Created             pod/load-generator-68b6f899f5-kqwjq     Created container: load-generator
48s         Normal    ScalingReplicaSet   deployment/checkout                     Scaled up replica set checkout-5bc54f8cd8 from 0 to 1
47s         Normal    Started             pod/product-catalog-6988cd5f49-dl96x    Started container product-catalog
47s         Normal    Created             pod/product-catalog-6988cd5f49-dl96x    Created container: product-catalog
47s         Normal    Pulled              pod/product-catalog-6988cd5f49-dl96x    Container image "ghcr.io/open-telemetry/demo:2.0.2-product-catalog" already present on machine
47s         Normal    Scheduled           pod/product-catalog-6988cd5f49-dl96x    Successfully assigned astronomy-shop/product-catalog-6988cd5f49-dl96x to niko-0830-worker
47s         Normal    Started             pod/shipping-7f445d59dc-p4nt2           Started container shipping
47s         Normal    Created             pod/shipping-7f445d59dc-p4nt2           Created container: shipping
48s         Normal    SuccessfulCreate    replicaset/cart-6fd857c656              Created pod: cart-6fd857c656-hvpd6
48s         Normal    Pulled              pod/opensearch-0                        Container image "opensearchproject/opensearch:2.19.3" already present on machine
47s         Normal    Created             pod/opensearch-0                        Created container: configfile
47s         Normal    Started             pod/otel-collector-758b8784c-994h9      Started container opentelemetry-collector
47s         Normal    Created             pod/otel-collector-758b8784c-994h9      Created container: opentelemetry-collector
47s         Normal    Pulled              pod/otel-collector-758b8784c-994h9      Container image "otel/opentelemetry-collector-contrib:0.131.0" already present on machine
47s         Normal    Scheduled           pod/fraud-detection-65868bcdb5-kz8jg    Successfully assigned astronomy-shop/fraud-detection-65868bcdb5-kz8jg to niko-0830-worker
47s         Normal    Pulling             pod/fraud-detection-65868bcdb5-kz8jg    Pulling image "busybox:latest"
47s         Normal    Scheduled           pod/otel-collector-758b8784c-994h9      Successfully assigned astronomy-shop/otel-collector-758b8784c-994h9 to niko-0830-worker
47s         Normal    Pulled              pod/shipping-7f445d59dc-p4nt2           Container image "ghcr.io/open-telemetry/demo:2.0.2-shipping" already present on machine
47s         Normal    Pulling             pod/checkout-5bc54f8cd8-2lg4z           Pulling image "busybox:latest"
47s         Normal    Started             pod/opensearch-0                        Started container opensearch
47s         Normal    Created             pod/opensearch-0                        Created container: opensearch
47s         Normal    Pulled              pod/opensearch-0                        Container image "opensearchproject/opensearch:2.19.3" already present on machine
47s         Normal    Started             pod/opensearch-0                        Started container configfile
48s         Normal    ScalingReplicaSet   deployment/fraud-detection              Scaled up replica set fraud-detection-65868bcdb5 from 0 to 1
46s         Normal    Started             pod/recommendation-7b49c8cb75-jfnns     Started container recommendation
46s         Normal    Pulled              pod/accounting-567f87bbcd-mkmbb         Successfully pulled image "busybox:latest" in 1.694s (1.694s including waiting). Image size: 2223685 bytes.
47s         Normal    SuccessfulCreate    replicaset/fraud-detection-65868bcdb5   Created pod: fraud-detection-65868bcdb5-kz8jg
48s         Normal    ScalingReplicaSet   deployment/otel-collector               Scaled up replica set otel-collector-758b8784c from 0 to 1
46s         Normal    Scheduled           pod/payment-7597577cb5-ckrtb            Successfully assigned astronomy-shop/payment-7597577cb5-ckrtb to niko-0830-worker
46s         Normal    Pulled              pod/payment-7597577cb5-ckrtb            Container image "ghcr.io/open-telemetry/demo:2.0.2-payment" already present on machine
46s         Normal    Created             pod/payment-7597577cb5-ckrtb            Created container: payment
47s         Normal    SuccessfulCreate    replicaset/product-catalog-6988cd5f49   Created pod: product-catalog-6988cd5f49-dl96x
46s         Normal    Scheduled           pod/flagd-86575d5796-sqrg9              Successfully assigned astronomy-shop/flagd-86575d5796-sqrg9 to niko-0830-worker
48s         Normal    ScalingReplicaSet   deployment/prometheus                   Scaled up replica set prometheus-58b7bfb774 from 0 to 1
47s         Normal    SuccessfulCreate    replicaset/otel-collector-758b8784c     Created pod: otel-collector-758b8784c-994h9
46s         Normal    Scheduled           pod/frontend-7d6b77c58-l9rh5            Successfully assigned astronomy-shop/frontend-7d6b77c58-l9rh5 to niko-0830-worker
48s         Normal    ScalingReplicaSet   deployment/product-catalog              Scaled up replica set product-catalog-6988cd5f49 from 0 to 1
46s         Normal    Scheduled           pod/grafana-6b9fb84fb7-s76mb            Successfully assigned astronomy-shop/grafana-6b9fb84fb7-s76mb to niko-0830-worker
46s         Normal    Scheduled           pod/quote-78bf8788-cks47                Successfully assigned astronomy-shop/quote-78bf8788-cks47 to niko-0830-worker
46s         Normal    Pulled              pod/quote-78bf8788-cks47                Container image "ghcr.io/open-telemetry/demo:2.0.2-quote" already present on machine
46s         Normal    Created             pod/recommendation-7b49c8cb75-jfnns     Created container: recommendation
46s         Normal    Created             pod/quote-78bf8788-cks47                Created container: quote
46s         Normal    Started             pod/accounting-567f87bbcd-mkmbb         Started container wait-for-kafka
46s         Normal    Created             pod/accounting-567f87bbcd-mkmbb         Created container: wait-for-kafka
46s         Normal    Started             pod/quote-78bf8788-cks47                Started container quote
46s         Normal    Pulled              pod/recommendation-7b49c8cb75-jfnns     Container image "ghcr.io/open-telemetry/demo:2.0.2-recommendation" already present on machine
47s         Normal    SuccessfulCreate    replicaset/prometheus-58b7bfb774        Created pod: prometheus-58b7bfb774-j7mqk
45s         Normal    Created             pod/email-59d9ffc758-6tlxf              Created container: email
45s         Normal    Scheduled           pod/email-59d9ffc758-6tlxf              Successfully assigned astronomy-shop/email-59d9ffc758-6tlxf to niko-0830-worker
48s         Normal    ScalingReplicaSet   deployment/recommendation               Scaled up replica set recommendation-7b49c8cb75 from 0 to 1
47s         Normal    SuccessfulCreate    replicaset/recommendation-7b49c8cb75    Created pod: recommendation-7b49c8cb75-jfnns
45s         Normal    Created             pod/image-provider-7f5bc6bf-b4pmq       Created container: image-provider
45s         Normal    Pulled              pod/image-provider-7f5bc6bf-b4pmq       Container image "ghcr.io/open-telemetry/demo:2.0.2-image-provider" already present on machine
45s         Normal    Scheduled           pod/image-provider-7f5bc6bf-b4pmq       Successfully assigned astronomy-shop/image-provider-7f5bc6bf-b4pmq to niko-0830-worker
47s         Normal    ScalingReplicaSet   deployment/quote                        Scaled up replica set quote-78bf8788 from 0 to 1
46s         Normal    SuccessfulCreate    replicaset/quote-78bf8788               Created pod: quote-78bf8788-cks47
34s         Warning   Unhealthy           pod/grafana-6b9fb84fb7-s76mb            Readiness probe failed: Get "http://10.244.1.115:3000/api/health": dial tcp 10.244.1.115:3000: connect: connection refused
45s         Normal    Started             pod/grafana-6b9fb84fb7-s76mb            Started container grafana
45s         Normal    Created             pod/grafana-6b9fb84fb7-s76mb            Created container: grafana
45s         Normal    Pulled              pod/grafana-6b9fb84fb7-s76mb            Container image "docker.io/grafana/grafana:12.1.0" already present on machine
45s         Normal    Pulled              pod/email-59d9ffc758-6tlxf              Container image "ghcr.io/open-telemetry/demo:2.0.2-email" already present on machine
45s         Normal    Pulling             pod/flagd-86575d5796-sqrg9              Pulling image "busybox"
47s         Normal    ScalingReplicaSet   deployment/payment                      Scaled up replica set payment-7597577cb5 from 0 to 1
46s         Normal    SuccessfulCreate    replicaset/payment-7597577cb5           Created pod: payment-7597577cb5-ckrtb
45s         Normal    Created             pod/frontend-proxy-548b4649d7-svw25     Created container: frontend-proxy
45s         Normal    Pulled              pod/frontend-proxy-548b4649d7-svw25     Container image "ghcr.io/open-telemetry/demo:2.0.2-frontend-proxy" already present on machine
45s         Normal    Scheduled           pod/frontend-proxy-548b4649d7-svw25     Successfully assigned astronomy-shop/frontend-proxy-548b4649d7-svw25 to niko-0830-worker
45s         Normal    Started             pod/payment-7597577cb5-ckrtb            Started container payment
45s         Normal    Started             pod/frontend-7d6b77c58-l9rh5            Started container frontend
45s         Normal    Created             pod/frontend-7d6b77c58-l9rh5            Created container: frontend
45s         Normal    Pulled              pod/frontend-7d6b77c58-l9rh5            Container image "ghcr.io/open-telemetry/demo:2.0.2-frontend" already present on machine
46s         Normal    ScalingReplicaSet   deployment/email                        Scaled up replica set email-59d9ffc758 from 0 to 1
45s         Normal    SuccessfulCreate    replicaset/image-provider-7f5bc6bf      Created pod: image-provider-7f5bc6bf-b4pmq
44s         Normal    Started             pod/image-provider-7f5bc6bf-b4pmq       Started container image-provider
47s         Normal    ScalingReplicaSet   deployment/grafana                      Scaled up replica set grafana-6b9fb84fb7 from 0 to 1
46s         Normal    SuccessfulCreate    replicaset/grafana-6b9fb84fb7           Created pod: grafana-6b9fb84fb7-s76mb
47s         Normal    ScalingReplicaSet   deployment/frontend                     Scaled up replica set frontend-7d6b77c58 from 0 to 1
45s         Normal    SuccessfulCreate    replicaset/frontend-proxy-548b4649d7    Created pod: frontend-proxy-548b4649d7-svw25
44s         Normal    Started             pod/email-59d9ffc758-6tlxf              Started container email
44s         Normal    Pulled              pod/cart-6fd857c656-hvpd6               Successfully pulled image "busybox:latest" in 1.62s (3.244s including waiting). Image size: 2223685 bytes.
47s         Normal    ScalingReplicaSet   deployment/flagd                        Scaled up replica set flagd-86575d5796 from 0 to 1
46s         Normal    SuccessfulCreate    replicaset/flagd-86575d5796             Created pod: flagd-86575d5796-sqrg9
45s         Normal    SuccessfulCreate    replicaset/email-59d9ffc758             Created pod: email-59d9ffc758-6tlxf
44s         Normal    Created             pod/cart-6fd857c656-hvpd6               Created container: cart
44s         Normal    Pulled              pod/cart-6fd857c656-hvpd6               Container image "ghcr.io/open-telemetry/demo:2.0.2-cart" already present on machine
44s         Normal    Started             pod/cart-6fd857c656-hvpd6               Started container wait-for-valkey-cart
44s         Normal    Created             pod/cart-6fd857c656-hvpd6               Created container: wait-for-valkey-cart
46s         Normal    SuccessfulCreate    replicaset/frontend-7d6b77c58           Created pod: frontend-7d6b77c58-l9rh5
44s         Normal    Started             pod/frontend-proxy-548b4649d7-svw25     Started container frontend-proxy
43s         Normal    Pulled              pod/checkout-5bc54f8cd8-2lg4z           Successfully pulled image "busybox:latest" in 1.622s (4.722s including waiting). Image size: 2223685 bytes.
43s         Normal    Started             pod/cart-6fd857c656-hvpd6               Started container cart
46s         Normal    ScalingReplicaSet   deployment/image-provider               Scaled up replica set image-provider-7f5bc6bf from 0 to 1
43s         Normal    Created             pod/checkout-5bc54f8cd8-2lg4z           Created container: wait-for-kafka
46s         Normal    ScalingReplicaSet   deployment/frontend-proxy               Scaled up replica set frontend-proxy-548b4649d7 from 0 to 1
42s         Normal    Started             pod/checkout-5bc54f8cd8-2lg4z           Started container wait-for-kafka
41s         Normal    Started             pod/fraud-detection-65868bcdb5-kz8jg    Started container wait-for-kafka
41s         Normal    Pulled              pod/fraud-detection-65868bcdb5-kz8jg    Successfully pulled image "busybox:latest" in 1.591s (5.989s including waiting). Image size: 2223685 bytes.
41s         Normal    Created             pod/fraud-detection-65868bcdb5-kz8jg    Created container: wait-for-kafka
39s         Normal    Created             pod/flagd-86575d5796-sqrg9              Created container: init-config
39s         Normal    Created             pod/flagd-86575d5796-sqrg9              Created container: flagd
39s         Normal    Created             pod/flagd-86575d5796-sqrg9              Created container: flagd-ui
39s         Normal    Started             pod/flagd-86575d5796-sqrg9              Started container init-config
39s         Normal    Pulled              pod/flagd-86575d5796-sqrg9              Container image "ghcr.io/open-telemetry/demo:2.0.2-flagd-ui" already present on machine
39s         Normal    Pulled              pod/flagd-86575d5796-sqrg9              Successfully pulled image "busybox" in 1.629s (5.767s including waiting). Image size: 2223685 bytes.
39s         Normal    Started             pod/flagd-86575d5796-sqrg9              Started container flagd
39s         Normal    Pulled              pod/flagd-86575d5796-sqrg9              Container image "ghcr.io/open-feature/flagd:v0.12.8" already present on machine
38s         Normal    Started             pod/flagd-86575d5796-sqrg9              Started container flagd-ui
38s         Warning   Unhealthy           pod/opensearch-0                        Startup probe failed: dial tcp 10.244.1.102:9200: connect: connection refused
31s         Warning   BackOff             pod/ad-94bd576b5-76nl8                  Back-off restarting failed container ad in pod ad-94bd576b5-76nl8_astronomy-shop(cc2860d7-ac95-450b-8c1f-587d4a8137cd)
5s          Normal    Pulled              pod/fraud-detection-65868bcdb5-kz8jg    Container image "ghcr.io/open-telemetry/demo:2.0.2-fraud-detection" already present on machine
5s          Normal    Created             pod/fraud-detection-65868bcdb5-kz8jg    Created container: fraud-detection
26s         Normal    Created             pod/checkout-5bc54f8cd8-2lg4z           Created container: checkout
26s         Normal    Pulled              pod/checkout-5bc54f8cd8-2lg4z           Container image "ghcr.io/open-telemetry/demo:2.0.2-checkout" already present on machine
26s         Normal    Started             pod/checkout-5bc54f8cd8-2lg4z           Started container checkout
